Tanggal,Tweets,ID,Screen Name,Banyak Retweet,Source,Retweet Status,Hashtags;;;;;;;
"2021-05-12 20:20:41,""b'RT @fnursyamsi: @5194b Dampaknya terlalu, jadi harus terus melawan. Kelompok difabel dirugikan jika para penyidik yang berhasil mengungkap\xe2\x80\xa6'"",1392575478947483648,5194b,2,Twitter for iPhone,1,[]";;;;;;;
2021-05-12 20:19:46,b'@IpoengSoemadi @MrsRachelIn @RachlanNashidik Betul...dan sudah terbukti Pengacau NKRI adalah Gerombolan MALING Bansos yg sok paling nkri...\nNamanya juga Maling apalagi Maling duit rakyat gk akan mau di bilang maling...apalagi sedang berkuasa...',1392575249049210882,Ahmad41400773,0,Twitter for Android,0,[];;;;;;;
2021-05-12 20:12:34,b'RT @Djoked2: Ngabalin otaknya malah ada di anusnya. KPK kudu periksa Ngabalin duit korupsi Bansos yg disembunyikan di pantatnya. Qi qi qi.\xe2\x80\xa6',1392573436505980929,kartikaDeee,137,Twitter for Android,1,[];;;;;;;
"2021-05-12 20:06:04,""b'#BeraniJujurPecat\nMendukung pemecatan 75 anggota kpk, dan mengganti dengan personil baru yg lebih bersih berani dan tidak berpolitik, berani tangkap harun masiku dan madam bansos'"",1392571798059839488,Awanzamrud,0,Twitter for Android,0,['BeraniJujurPecat']";;;;;;;
2021-05-12 20:04:00,b'@idtodayco Jangan pilih partai yang kerjanya perampok uang bansos di saat wong cilik membutuhkan bantuan. Biadab tak bermoral',1392571278255480838,WalangKakek,0,Twitter for Android,0,[];;;;;;;
2021-05-12 20:02:50,b'@PKSejahtera @MardaniAliSera Sebab Kasus Bansos Harus di TUTUP segera.  Kalau ngak Madam gawat .  Tapi Kalau 75 Sudah non aktif.  Semua data Mereka Sudah copy ngak ya.  Ramai lho nantinya Heheheheh',1392570988160638976,Siahaan8Lambok,0,Twitter for iPhone,0,[];;;;;;;
2021-05-12 20:01:57,b'RT @Djoked2: Ngabalin otaknya malah ada di anusnya. KPK kudu periksa Ngabalin duit korupsi Bansos yg disembunyikan di pantatnya. Qi qi qi.\xe2\x80\xa6',1392570765409624066,R_Soentana,137,Twitter for Android,1,[];;;;;;;
2021-05-12 19:59:41,b'RT @Djoked2: Ngabalin otaknya malah ada di anusnya. KPK kudu periksa Ngabalin duit korupsi Bansos yg disembunyikan di pantatnya. Qi qi qi.\xe2\x80\xa6',1392570193147097088,RafianiR,137,Twitter for Android,1,[];;;;;;;
2021-05-12 19:52:24,b'RT @Djoked2: Ngabalin otaknya malah ada di anusnya. KPK kudu periksa Ngabalin duit korupsi Bansos yg disembunyikan di pantatnya. Qi qi qi.\xe2\x80\xa6',1392568361683324928,BengkalisSutan,137,Twitter for Android,1,[];;;;;;;
2021-05-12 19:51:23,b'RT @Djoked2: Ngabalin otaknya malah ada di anusnya. KPK kudu periksa Ngabalin duit korupsi Bansos yg disembunyikan di pantatnya. Qi qi qi.\xe2\x80\xa6',1392568104035573761,etwinariawanda,137,Twitter for Android,1,[];;;;;;;
2021-05-12 19:30:01,b'RT @Djoked2: Ngabalin otaknya malah ada di anusnya. KPK kudu periksa Ngabalin duit korupsi Bansos yg disembunyikan di pantatnya. Qi qi qi.\xe2\x80\xa6',1392562727202086913,PututKarang,137,Twitter for Android,1,[];;;;;;;
2021-05-12 19:25:42,b'RT @Djoked2: Ngabalin otaknya malah ada di anusnya. KPK kudu periksa Ngabalin duit korupsi Bansos yg disembunyikan di pantatnya. Qi qi qi.\xe2\x80\xa6',1392561643272343554,Gotun05,137,Twitter for Android,1,[];;;;;;;
