Tanggal,Tweets,ID,Screen Name,Banyak Retweet,Source,Retweet Status,Hashtags;
2021-05-08 21:52:35,b'@HamidRaizan @yuyudhaaa @TahuTahuBulat1 @pramadyaya @misgianto2 @PNS_Ababil @salurantersier Untuk bansos master data nya dari BPS tapi di update berkala oleh kemensos itu udah ada MoU nya (tp yg baru ini kayaknya data bansos master datanya kemensos ambil sndiri) .. Kalo soal dewa ke dewa biasanya ada nota perjanjianya gak sih.. Kurang ngerti sih..',1391149053950369795,tioarasp,0,Twitter Web App,0,[];
2021-05-08 21:51:49,b'RT @MawarSolitaire: @SiaWilsia @febridiansyah tul skl..\nkorupsi bansos itu salah nya \npak anies ta bong..\n\nbukn cebong buduk klw ga\nbloon..\xe2\x80\xa6',1391148861687668738,haris_ah_sun,1,Twitter for Android,1,[];
"2021-05-08 21:49:44,""b'@Dekade1998 @nahdlatululama @Lakpesdam_PBNU Orang gw gk ngantri bansos anying wkwk, noh junjungan lu, anak buahnya korupsi bansos, duitnya ngalir ke partai gak tuh \xf0\x9f\xa5\xb4\xf0\x9f\xa5\xb4\xf0\x9f\xa5\xb4\xf0\x9f\xa5\xb4'"",1391148338091749377,adarocons,0,Twitter for iPhone,0,[]";
2021-05-08 21:48:35,b'RT @selebcuit: Belum lagi banjir .. longsor .. dll .. makanya koruptor bansos .. kalau gak mau di hukum maksimal .. semuanya angkut masukin\xe2\x80\xa6',1391148049339092992,NobitaNewbie,2,Twitter for Android,1,[];
2021-05-08 21:47:49,b'@adarocons @nahdlatululama @Lakpesdam_PBNU Eh salahhhh... ada Bab**** lg ngepet\nngaku bayar pajak tp ngantri bansos..\nanak lonte.. muehe he he he..',1391147856048713731,Dekade1998,0,Twitter for iPhone,0,[];
"2021-05-08 21:43:44,""b'@mula31 @KompasTV Tinggal liat???udeeee. Bansos segala BPJS dll dikorupsi grup redbul kita mah bisanya cuma tinggal liat. Dasar lu bipang, cebi panggang \xf0\x9f\xa5\xb5'"",1391146826976305152,lestrangeina,0,Twitter Web App,0,[]";
2021-05-08 21:41:44,b'@effendymuchid70 @HaryantoMarijan @HukumDan Emosi kaga jelas.. Nulisnya berantakan.\nG kebagian bansos y?',1391146324800667648,iniabrar,0,Twitter for Android,0,[];
"2021-05-08 21:40:23,""b'@mouldie_sep Loh yaiya, supaya gak ada kasus korupsi bansos dan KKP lagi, ya diselesaikan dong,\n""""Penyidiknya""""'"",1391145985263345669,syifaoryza,0,Twitter for Android,0,[]";
2021-05-08 21:36:25,b'madam bansos jadi guru besarZz... https://t.co/6qPujUfhqa',1391144986033287169,maungngomul,0,Twitter for iPhone,0,[];
"2021-05-08 21:34:11,""b'@jawapos @joserasyid Pernah denger buzzeRp ngangkat isyu korupsi..? Soal Bansos yang disunat, Asabri, Jiwasraya sampe lolosnya koruptor kelas kakap Sjamsul Nursalim lewat SP3 KPK....??'"",1391144422121697282,NurmansyahAffa1,0,Twitter for Android,0,[]";
