Tanggal;Banyak Retweet;Tweet
05/05/2021 05:51;0.0;sudah tau tes belum beneran twk nanya 2 konteks haha buzz terus ki akan kamu tutup mata nb adlh korban siram air keras buka mega korupsi bansos iya twk kait bijak pmrnth tidak suka
05/05/2021 05:52;0.0;admin kangen harun masiku bagimana kabar madam bansos anak lurah terus bberapa nama hilang dalam korupsi bansos
05/05/2021 05:55;0.0;biasa mulut polo dengkul jiwa emis kasih makan duit hasil maling bansos tidak dukung sudah bongkar busuk aktor maling bansos bisa nyinyir bin nyonyor
05/05/2021 05:59;0.0;lulus tes bangsa kok bantu miskin bansos perintah daerah kabupaten cilacap tolong kutuk miskinyg bansos bukan cup mendapa bansos bupati kerja tidak
05/05/2021 06:04;0.0;korupsi bansos sasar elit partai politik elit partai politik radang tidak ganggu perilaku oknum anggota partai politik sejati rusak nama partai rugi negara
05/05/2021 06:05;2.0;korupsi bansos
05/05/2021 06:07;0.0;hukum mati presiden tidak ampun koruptor korupsi bansos
05/05/2021 06:07;0.0;nikmat dusta bansos gratis pulsa internet gratis tidak gratis hp tuhindonesiamaju
05/05/2021 06:09;9.0;semoga novel baswedan tangkap madam bansos savekpk
05/05/2021 06:11;0.0;lurah selamat kroni anak jerat korupsi godybag bos madam bansos
05/05/2021 06:13;2.0;fakta tangan firli masiku hilang truk isi dokumen hilang sp3 koruptor buron korupsi bansos sayup 2 upaya geledah tangan bocor tambahin lg
05/05/2021 06:13;0.0;hibur pake uang bansos seh allah miskin
05/05/2021 06:13;0.0;tuju dagang nyari uang kalau tutup tutup rezeki makan bayar emang perintah jamin hidup bansos korupsi
05/05/2021 06:15;0.0;test ulang ketua kpk harun masiku belum tangkap sinyalir libat petinggi pdip juga perihal bansos oke
05/05/2021 06:21;0.0;malam kemarin ngobrol sama bilang masalah covid 19 habis pikir adalah laku koruptor bansos seperti rasuk setan emang setan
05/05/2021 06:23;0.0;agama sang nenek madam bansos om
05/05/2021 06:26;0.0;bentar korupsi dana bansos
05/05/2021 06:28;21.0;bansos juga tidak rata banyak suka sasar smpe keluarga saya tidak dapat bantu bansos belum rezeki alhamdulilah makan masiku tapi belum seperti  saya baik tidak dapat rw bias sih deket sama dpt
